Employee_ID,Date,Sick_Status,Sick_History,Seasonality,Shift_Info,Location,Skill,Labor_Compliance
EMP001,2024-01-01,0,4,1,Morning,West,Technician,True
EMP001,2024-01-02,1,4,1,Morning,West,Maintenance,True
EMP001,2024-01-03,0,0,1,Night,East,Maintenance,False
EMP001,2024-01-04,0,5,1,Afternoon,North,Machine Operator,True
EMP001,2024-01-05,1,5,1,Morning,East,Machine Operator,False
EMP001,2024-01-06,1,4,1,Afternoon,East,Technician,False
EMP001,2024-01-07,1,4,1,Afternoon,South,Maintenance,False
EMP001,2024-01-08,1,5,1,Morning,West,Machine Operator,True
EMP001,2024-01-09,0,1,1,Morning,South,Maintenance,True
EMP001,2024-01-10,0,5,1,Morning,South,Technician,False
EMP001,2024-01-11,0,5,1,Morning,South,Maintenance,True
EMP001,2024-01-12,1,4,1,Morning,North,Maintenance,True
EMP001,2024-01-13,0,4,1,Night,West,Machine Operator,False
EMP001,2024-01-14,1,4,1,Afternoon,South,Technician,True
EMP001,2024-01-15,1,5,1,Morning,North,Machine Operator,False
EMP001,2024-01-16,1,4,1,Afternoon,East,Maintenance,True
EMP001,2024-01-17,0,0,1,Night,South,Technician,True
EMP001,2024-01-18,0,2,1,Afternoon,North,Technician,True
EMP001,2024-01-19,0,2,1,Morning,West,Maintenance,False
EMP001,2024-01-20,0,3,1,Afternoon,South,Technician,False
EMP001,2024-01-21,0,3,1,Night,East,Technician,False
EMP001,2024-01-22,1,4,1,Morning,South,Maintenance,False
EMP001,2024-01-23,0,1,1,Afternoon,North,Machine Operator,True
EMP001,2024-01-24,1,1,1,Afternoon,North,Machine Operator,False
EMP001,2024-01-25,1,5,1,Morning,East,Technician,True
EMP001,2024-01-26,0,4,1,Night,North,Maintenance,True
EMP001,2024-01-27,0,4,1,Morning,West,Maintenance,False
EMP001,2024-01-28,0,5,1,Morning,East,Technician,True
EMP001,2024-01-29,1,0,1,Afternoon,West,Technician,True
EMP001,2024-01-30,0,2,1,Night,North,Maintenance,False
EMP001,2024-01-31,1,2,1,Morning,West,Maintenance,False
EMP001,2024-02-01,0,0,1,Night,East,Maintenance,True
EMP001,2024-02-02,0,1,1,Afternoon,South,Machine Operator,False
EMP001,2024-02-03,0,3,1,Night,East,Technician,True
EMP001,2024-02-04,0,4,1,Morning,West,Maintenance,True
